state.x;czname;num_grants;cohort;age;male;female;expenditure_school;expenditures;test_score;income_pc;income_growth;universities_pc;graduation_rate;teacher_student_ratio;migration_inflow;migration_born;social_capital;china_imports;racial_segregation;gini;tax_rate;violence;children_onlyparent;divorce_share;manufacture_employment
Montana;Great Falls;8,82682E-05;1952,868869;50,93793794;;;5,1015341;1763,141;12,99156;32458,03;0,0009364;0,0210303;-0,1878061;16,688534;0,018948276;0,0224512;0,69807801;0,7253505;0,1138323;0,38781;0,0202463;0,0034805;0,1998682;0,1127596;0,0341891
Montana;Havre;0,000115193;1963,16;40,74444444;;;6,5568716;2020,842;-4,698902;27557,26;0,0075274;0,1160991;-0,0329899;15,321233;0,010487616;0,0184026;0,97616797;0,0207937;0,4717646;0,36724;0,0249245;0,0034056;0,2227652;0,0920935;0,014335
Montana;Helena;0,000157084;1954,186583;49,72641509;;;5,2372998;1668,471;8,937174;33609,67;0,0064543;0,0285103;0,065915;17,341154;0,022679972;0,0152015;3,071248;0,3684867;0,0090363;0,35533;0,0292243;0,0014968;0,1843642;0,1260031;0,040774
Montana;Kalispell;0,00069587;1952,868869;50,93793794;;;4,9847896;1709,979;5,978268;32003,25;0,0065197;0,0179848;-0,120535;17,933386;0,021392923;0,0198686;0,52724134;0,6504772;0,1728574;0,43982;0,020824;0,0013309;0,1907046;0,1181645;0,1148716
Montana;Lewistown;0;1954,791667;48,75;;;5,8730724;1734,487;16,40363;31401,06;0,0087583;;;16,394978;0,012756338;0,0098181;1,756134;0,0161069;0,012449;0,35238;0,0237705;0,0018569;0,14276;0,1057032;0,0476109
Montana;Libby;0,000140422;1954,251515;50,11818182;;;5,0773872;1638,35;5,058121;26385,41;0,0204064;;;17,064927;0,014174232;0,0141211;0,65953271;0,0328852;0,0035504;0,36922;0,0254041;0,0010087;0,1811754;0,1164856;0,1273848
Montana;Miles City;0;1957;48,33333333;;;5,0249081;2043,349;10,44362;30025,74;0,0069738;0,0775494;0,0240671;15,901184;0,00961613;0,0136487;0,59269923;0,0851142;0,0228684;0,34504;0,0237819;0,0016285;0,2186106;0,1181163;0,0225086
Montana;Missoula;0,000418207;1952,801199;50,995005;;;5,1451454;1656,618;8,572976;31286,06;0,0042946;0,0073662;0,0477651;17,441395;0,024963906;0,0210859;1,1697124;0,5115328;0,0326902;0,41762;0,0245874;0,0022025;0,1963275;0,1083062;0,0758351
Montana;Shelby;6,32526E-05;1961,134434;42,5754717;;;6,8026711;2671,229;-7,628539;25614,96;0,0022778;0,0400994;-0,1148453;14,603439;0,006816906;0,0229242;0,59629444;0,7530622;0,5147716;0,38451;0,0281276;0,0006416;0,1926413;0,0878114;0,0157464
Montana;Wolf Point;0;1957;39;;;7,0136903;2391,714;-10,31551;24254;0,0069436;0,079384;-0,2340864;14,137481;0,004683655;0,0084844;0,36422189;2,8309;0,3001167;0,33025;0,0319146;0,0003175;0,2611684;0,1063942;0,0163673
